verb-eng,noun-eng,modal-eng,verb-ger,noun-ger,modal-ger,noun-tur,verb-tur,modal-tur,phrase-eng,phrase-ger,phrase_cutoff_after_subject-eng,phrase_cutoff_after_subject-ger,phrase-tur,phrase_cutoff_after_subject-tur,phrase-zho,modal-zho,noun-zho,verb-zho,phrase_cutoff_after_subject-zho
panic,man,has to,in Panik geraten,Mann,muss,erkek,paniklemek,zorunda,the man has to panic,der Mann muss in Panik geraten,the man,der Mann muss in,erkek paniklemek zorunda,erkek,男人必须惊惶,必须,男人,惊惶,男人
scream,child,has to,schreien,Kind,muss,çocuk,çığlık,zorunda,the child has to scream,das Kind muss schreien,the child,das Kind,çocuk çığlık atmak zorunda,çocuk,孩童必须尖叫,必须,孩童,尖叫,孩童
jump,cat,has to,springen,Katze,muss,kedi,atlamak,zorunda,the cat has to jump,die Katze muss springen,the cat,die Katze,kedi atlamak zorunda,kedi,猫必须跳跃,必须,猫,跳跃,猫
listen,blacksmith,has to,zuhören,Schmied,muss,demirci,dinlemek,zorunda,the blacksmith has to listen,der Schmied muss zuhören,the blacksmith,der Schmied,demirci dinlemek zorunda,demirci,铁匠必须倾听,必须,铁匠,倾听,铁匠
respond,artist,has to,reagieren,Künstler,muss,sanatçı,cevap,zorunda,the artist has to respond,der Künstler muss reagieren,the artist,der Künstler,sanatçı cevap vermek zorunda,sanatçı,艺术家必须回应,必须,艺术家,回应,艺术家
sit,sailor,has to,sitzen,Seemann,muss,denizci,oturmak,zorunda,the sailor has to sit,der Seemann muss sitzen,the sailor,der Seemann,denizci oturmak zorunda,denizci,水手必须坐定,必须,水手,坐定,水手
go,woman,has to,gehen,Frau,muss,kadın,gitmek,zorunda,the woman has to go,die Frau muss gehen,the woman,die Frau,kadın gitmek zorunda,kadın,女人必须离去,必须,女人,离去,女人
fall,man,has to,fallen,Mann,muss,erkek,düşmek,zorunda,the man has to fall,der Mann muss fallen,the man,der Mann,erkek düşmek zorunda,erkek,男人必须坠落,必须,男人,坠落,男人
run,shopkeeper,has to,rennen,Ladenbesitzer,muss,dükkân,sahibi,zorunda,the shopkeeper has to run,der Ladenbesitzer muss rennen,the shopkeeper,der Ladenbesitzer,dükkân sahibi koşmak zorunda,dükkân,店主必须奔跑,必须,店主,奔跑,店主
run,postman,has to,rennen,Postbote,muss,postacı,koşmak,zorunda,the postman has to run,der Postbote muss rennen,the postman,der Postbote,postacı koşmak zorunda,postacı,邮差必须奔跑,必须,邮差,奔跑,邮差
arrive,neurologist,has to,ankommen,Neurologe,muss,nörolog,gelmek,zorunda,the neurologist has to arrive,der Neurologe muss ankommen,the neurologist,der Neurologe,nörolog gelmek zorunda,nörolog,神经科医生必须抵达,必须,神经科医生,抵达,神经科医生
arrive,driver,has to,ankommen,Fahrer,muss,şoför,gelmek,zorunda,the driver has to arrive,der Fahrer muss ankommen,the driver,der Fahrer,şoför gelmek zorunda,şoför,司机必须抵达,必须,司机,抵达,司机
fly,owl,has to,fliegen,Eule,muss,baykuş,uçmak,zorunda,the owl has to fly,die Eule muss fliegen,the owl,die Eule,baykuş uçmak zorunda,baykuş,猫头鹰必须飞翔,必须,猫头鹰,飞翔,猫头鹰
march,activist,has to,marschieren,Aktivist,muss,aktivist,yürümek,zorunda,the activist has to march,der Aktivist muss marschieren,the activist,der Aktivist,aktivist yürümek zorunda,aktivist,活动家必须游行,必须,活动家,游行,活动家
sigh,farmer,has to,seufzen,Bauer,muss,çiftçi,iç çekmek,zorunda,the farmer has to sigh,der Bauer muss seufzen,the farmer,der Bauer,çiftçi iç çekmek zorunda,çiftçi,农夫必须叹息,必须,农夫,叹息,农夫
smile,electrician,has to,lächeln,Elektriker,muss,elektrikçi,gülümsemek,zorunda,the electrician has to smile,der Elektriker muss lächeln,the electrician,der Elektriker,elektrikçi gülümsemek zorunda,elektrikçi,电工必须微笑,必须,电工,微笑,电工
stand,conductor,has to,stehen,Dirigent,muss,orkestra,ayakta durmak,zorunda,the conductor has to stand,der Dirigent muss stehen,the conductor,der Dirigent,orkestra şefi ayakta durmak zorunda,orkestra,指挥家必须站立,必须,指挥家,站立,指挥家
go,bride,has to,gehen,Braut,muss,gelin,gitmek,zorunda,the bride has to go,die Braut muss gehen,the bride,die Braut,gelin gitmek zorunda,gelin,新娘必须离去,必须,新娘,离去,新娘
yawn,photographer,has to,gähnen,Fotograf,muss,fotoğrafçı,esnemek,zorunda,the photographer has to yawn,der Fotograf muss gähnen,the photographer,der Fotograf,fotoğrafçı esnemek zorunda,fotoğrafçı,摄影师必须打哈欠,必须,摄影师,打哈欠,摄影师
wave,magician,has to,winken,Zauberer,muss,sihirbaz,el sallamak,zorunda,the magician has to wave,der Zauberer muss winken,the magician,der Zauberer,sihirbaz el sallamak zorunda,sihirbaz,魔术师必须挥手,必须,魔术师,挥手,魔术师
bark,dog,has to,bellen,Hund,muss,köpek,havlamak,zorunda,the dog has to bark,der Hund muss bellen,the dog,der Hund,köpek havlamak zorunda,köpek,狗必须吠叫,必须,狗,吠叫,狗
