object-eng,verb-eng,subject-eng,past_simple-eng,past_participle-eng,subject_article-ger,subject_noun-ger,auxiliary-ger,object_article-ger,object_noun-ger,past_participle-ger,verb-ger,praeteritum-ger,phrase_simple-eng,phrase_participle-eng,phrase_praeteritum-ger,phrase_participle-ger,phrase-ger-cutoff_after_subject_noun,phrase_cutoff_after_auxiliary-ger,phrase-ger-cutoff_after_object_noun,phrase-empty,phrase-fre,phrase_cutoff_after_auxiliary-fre,subject_article-fre,subject_noun-fre,past_participle-fre,object_article-fre,object_noun-fre
bell,drop,man,dropped,dropped,Der,Mann,hat,die,Glocke,fallen lassen,fallen lassen,ließ fallen,The man dropped the bell,The man has dropped the bell,Der Mann ließ die Glocke fallen,Der Mann hat die Glocke fallen lassen,Der Mann,Der Mann hat,Der Mann hat die Glocke,,L'homme a laissé tomber la cloche,L'homme a,L',homme,laissé tomber,la,cloche
berry,swallow,child,swallowed,swallowed,Das,Kind,hat,die,Beere,verschluckt,verschlucken,verschluckte,The child swallowed the berry,The child has swallowed the berry,Das Kind verschluckte die Beere,Das Kind hat die Beere verschluckt,Das Kind,Das Kind hat,Das Kind hat die Beere,,L'enfant a avalé la baie,L'enfant a,L',enfant,avalé,la,baie
bird,attack,cat,attacked,attacked,Die,Katze,hat,den,Vogel,angegriffen,angreifen,griff,The cat attacked the bird,The cat has attacked the bird,Die Katze griff den Vogel an,Die Katze hat den Vogel angegriffen,Die Katze,Die Katze hat,Die Katze hat den Vogel,,Le chat a attaqué l'oiseau,Le chat a,Le,chat,attaqué,l',oiseau
blade,sharpen,blacksmith,sharpened,sharpened,Der,Schmied,hat,die,Klinge,geschärft,schärfen,schärfte,The blacksmith sharpened the blade,The blacksmith has sharpened the blade,Der Schmied schärfte die Klinge,Der Schmied hat die Klinge geschärft,Der Schmied,Der Schmied hat,Der Schmied hat die Klinge,,Le forgeron a aiguisé la lame,Le forgeron a,Le,forgeron,aiguisé,la,lame
board,break,artist,broke,broken,Der,Künstler,hat,das,Brett,zerbrochen,zerbrechen,zerbrach,The artist broke the board,The artist has broken the board,Der Künstler zerbrach das Brett,Der Künstler hat das Brett zerbrochen,Der Künstler,Der Künstler hat,Der Künstler hat das Brett,,L'artiste a cassé la planche,L'artiste a,L',artiste,cassé,la,planche
boat,steer,sailor,steered,steered,Der,Seemann,hat,das,Boot,gesteuert,steuern,steuerte,The sailor steered the boat,The sailor has steered the boat,Der Seemann steuerte das Boot,Der Seemann hat das Boot gesteuert,Der Seemann,Der Seemann hat,Der Seemann hat das Boot,,Le marin a dirigé le bateau,Le marin a,Le,marin,dirigé,le,bateau
bone,throw,woman,threw,thrown,Die,Frau,hat,den,Knochen,geworfen,werfen,warf,The woman threw the bone,The woman has thrown the bone,Die Frau warf den Knochen,Die Frau hat den Knochen geworfen,Die Frau,Die Frau hat,Die Frau hat den Knochen,,La femme a jeté l'os,La femme a,La,femme,jeté,l',os
book,read,man,read,read,Der,Mann,hat,das,Buch,gelesen,lesen,las,The man read the book,The man has read the book,Der Mann las das Buch,Der Mann hat das Buch gelesen,Der Mann,Der Mann hat,Der Mann hat das Buch,,L'homme a lu le livre,L'homme a,L',homme,lu,le,livre
bottle,break,shopkeeper,broke,broken,Der,Ladenbesitzer,hat,die,Flasche,zerbrochen,zerbrechen,zerbrach,The shopkeeper broke the bottle,The shopkeeper has broken the bottle,Der Ladenbesitzer zerbrach die Flasche,Der Ladenbesitzer hat die Flasche zerbrochen,Der Ladenbesitzer,Der Ladenbesitzer hat,Der Ladenbesitzer hat die Flasche,,Le commerçant a cassé la bouteille,Le commerçant a,Le,commerçant,cassé,la,bouteille
box,open,postman,opened,opened,Der,Postbote,hat,die,Schachtel,geöffnet,öffnen,öffnete,The postman opened the box,The postman has opened the box,Der Postbote öffnete die Schachtel,Der Postbote hat die Schachtel geöffnet,Der Postbote,Der Postbote hat,Der Postbote hat die Schachtel,,Le facteur a ouvert la boîte,Le facteur a,Le,facteur,ouvert,la,boîte
boy,teach,teacher,taught,taught,Der,Lehrer,hat,den,Jungen,unterrichtet,unterrichten,unterrichtete,The teacher taught the boy,The teacher has taught the boy,Der Lehrer unterrichtete den Jungen,Der Lehrer hat den Jungen unterrichtet,Der Lehrer,Der Lehrer hat,Der Lehrer hat den Jungen,,Le professeur a donné des cours à le garçon,Le professeur a,Le,professeur,donné des cours à,le,garçon
brain,examine,neurologist,examined,examined,Der,Neurologe,hat,das,Gehirn,untersucht,untersuchen,untersuchte,The neurologist examined the brain,The neurologist has examined the brain,Der Neurologe untersuchte das Gehirn,Der Neurologe hat das Gehirn untersucht,Der Neurologe,Der Neurologe hat,Der Neurologe hat das Gehirn,,Le neurologue a examiné le cerveau,Le neurologue a,Le,neurologue,examiné,le,cerveau
brake,push,driver,pushed,pushed,Der,Fahrer,hat,die,Bremse,betätigt,betätigen,betätigte,The driver pushed the brake,The driver has pushed the brake,Der Fahrer betätigte die Bremse,Der Fahrer hat die Bremse betätigt,Der Fahrer,Der Fahrer hat,Der Fahrer hat die Bremse,,Le conducteur a appuyé sur le frein,Le conducteur a,Le,conducteur,appuyé sur,le,frein
branch,break,owl,broke,broken,Die,Eule,hat,den,Ast,zerbrochen,zerbrechen,zerbrach,The owl broke the branch,The owl has broken the branch,Die Eule zerbrach den Ast,Die Eule hat den Ast zerbrochen,Die Eule,Die Eule hat,Die Eule hat den Ast,,La chouette a cassé la branche,La chouette a,La,chouette,cassé,la,branche
brick,throw,activist,threw,thrown,Der,Aktivist,hat,den,Ziegelstein,geworfen,werfen,warf,The activist threw the brick,The activist has thrown the brick,Der Aktivist warf den Ziegelstein,Der Aktivist hat den Ziegelstein geworfen,Der Aktivist,Der Aktivist hat,Der Aktivist hat den Ziegelstein,,Le militant a jeté la brique,Le militant a,Le,militant,jeté,la,brique
bridge,cross,driver,crossed,crossed,Der,Fahrer,hat,die,Brücke,überquert,überqueren,überquerte,The driver crossed the bridge,The driver has crossed the bridge,Der Fahrer überquerte die Brücke,Der Fahrer hat die Brücke überquert,Der Fahrer,Der Fahrer hat,Der Fahrer hat die Brücke,,Le conducteur a traversé le pont,Le conducteur a,Le,conducteur,traversé,le,pont
bucket,fill,farmer,filled,filled,Der,Bauer,hat,den,Eimer,gefüllt,füllen,füllte,The farmer filled the bucket,The farmer has filled the bucket,Der Bauer füllte den Eimer,Der Bauer hat den Eimer gefüllt,Der Bauer,Der Bauer hat,Der Bauer hat den Eimer,,Le fermier a rempli le seau,Le fermier a,Le,fermier,rempli,le,seau
bulb,screw,electrician,screwed,screwed,Der,Elektriker,hat,die,Glühbirne,eingeschraubt,einschrauben,schraubte,The electrician screwed the bulb,The electrician has screwed the bulb,Der Elektriker schraubte die Glühbirne ein,Der Elektriker hat die Glühbirne eingeschraubt,Der Elektriker,Der Elektriker hat,Der Elektriker hat die Glühbirne,,L'électricien a vissé l'ampoule,L'électricien a,L',électricien,vissé,l',ampoule
button,press,conductor,pressed,pressed,Der,Schaffner,hat,den,Knopf,gedrückt,drücken,drückte,The conductor pressed the button,The conductor has pressed the button,Der Schaffner drückte den Knopf,Der Schaffner hat den Knopf gedrückt,Der Schaffner,Der Schaffner hat,Der Schaffner hat den Knopf,,Le conducteur a appuyé sur le bouton,Le conducteur a,Le,conducteur,appuyé sur,le,bouton
cake,cut,bride,cut,cut,Die,Braut,hat,die,Torte,angeschnitten,anschneiden,schnitt,The bride cut the cake,The bride has cut the cake,Die Braut schnitt die Torte,Die Braut hat die Torte angeschnitten,Die Braut,Die Braut hat,Die Braut hat die Torte,,La mariée a coupé le gâteau,La mariée a,La,mariée,coupé,le,gâteau
camera,buy,photographer,bought,bought,Der,Fotograf,hat,die,Kamera,gekauft,kaufen,kaufte,The photographer bought the camera,The photographer has bought the camera,Der Fotograf kaufte die Kamera,Der Fotograf hat die Kamera gekauft,Der Fotograf,Der Fotograf hat,Der Fotograf hat die Kamera,,Le photographe a acheté l'appareil photo,Le photographe a,Le,photographe,acheté,l',appareil photo
card,pull,magician,pulled,pulled,Der,Zauberer,hat,die,Karte,gezogen,ziehen,zog,The magician pulled the card,The magician has pulled the card,Der Zauberer zog die Karte,Der Zauberer hat die Karte gezogen,Der Zauberer,Der Zauberer hat,Der Zauberer hat die Karte,,Le magicien a tiré la carte,Le magicien a,Le,magicien,tiré,la,carte
cart,push,woman,pushed,pushed,Die,Frau,hat,den,Wagen,geschoben,schieben,schob,The woman pushed the cart,The woman has pushed the cart,Die Frau schob den Wagen,Die Frau hat den Wagen geschoben,Die Frau,Die Frau hat,Die Frau hat den Wagen,,La femme a poussé le chariot,La femme a,La,femme,poussé,le,chariot
cat,call,man,called,called,Der,Mann,hat,die,Katze,gerufen,rufen,rief,The man called the cat,The man has called the cat,Der Mann rief die Katze,Der Mann hat die Katze gerufen,Der Mann,Der Mann hat,Der Mann hat die Katze,,L'homme a appelé le chat,L'homme a,L',homme,appelé,le,chat
chain,pull,dog,pulled,pulled,Der,Hund,hat,die,Kette,gezogen,ziehen,zog,The dog pulled the chain,The dog has pulled the chain,Der Hund zog die Kette,Der Hund hat die Kette gezogen,Der Hund,Der Hund hat,Der Hund hat die Kette,,Le chien a tiré sur la chaîne,Le chien a,Le,chien,tiré sur,la,chaîne
cheese,smell,chef,smelled,smelled,Der,Koch,hat,den,Käse,gerochen,riechen,roch,The chef smelled the cheese,The chef has smelled the cheese,Der Koch roch den Käse,Der Koch hat den Käse gerochen,Der Koch,Der Koch hat,Der Koch hat den Käse,,Le chef a senti le fromage,Le chef a,Le,chef,senti,le,fromage
chest,open,historian,opened,opened,Der,Historiker,hat,die,Truhe,geöffnet,öffnen,öffnete,The historian opened the chest,The historian has opened the chest,Der Historiker öffnete die Truhe,Der Historiker hat die Truhe geöffnet,Der Historiker,Der Historiker hat,Der Historiker hat die Truhe,,L'historien a ouvert le coffre,L'historien a,L',historien,ouvert,le,coffre
church,visit,Christian,visited,visited,Der,Christ,hat,die,Kirche,besucht,besuchen,besuchte,The Christian visited the church,The Christian has visited the church,Der Christ besuchte die Kirche,Der Christ hat die Kirche besucht,Der Christ,Der Christ hat,Der Christ hat die Kirche,,Le chrétien a visité l'église,Le chrétien a,Le,chrétien,visité,l',église
circle,draw,child,drew,drawn,Das,Kind,hat,den,Kreis,gezeichnet,zeichnen,zeichnete,The child drew the circle,The child has drawn the circle,Das Kind zeichnete den Kreis,Das Kind hat den Kreis gezeichnet,Das Kind,Das Kind hat,Das Kind hat den Kreis,,L'enfant a dessiné le cercle,L'enfant a,L',enfant,dessiné,le,cercle
clock,fix,engineer,fixt,fixt,Der,Ingenieur,hat,die,Uhr,repariert,reparieren,reparierte,The engineer fixt the clock,The engineer has fixt the clock,Der Ingenieur reparierte die Uhr,Der Ingenieur hat die Uhr repariert,Der Ingenieur,Der Ingenieur hat,Der Ingenieur hat die Uhr,,L'ingénieur a réparé l'horloge,L'ingénieur a,L',ingénieur,réparé,l',horloge
cloud,see,artist,saw,seen,Der,Künstler,hat,die,Wolke,gesehen,sehen,sah,The artist saw the cloud,The artist has seen the cloud,Der Künstler sah die Wolke,Der Künstler hat die Wolke gesehen,Der Künstler,Der Künstler hat,Der Künstler hat die Wolke,,L'artiste a vu le nuage,L'artiste a,L',artiste,vu,le,nuage
coat,wear,model,wore,worn,Das,Model,hat,den,Mantel,getragen,tragen,trug,The model wore the coat,The model has worn the coat,Das Model trug den Mantel,Das Model hat den Mantel getragen,Das Model,Das Model hat,Das Model hat den Mantel,,Le mannequin a porté le manteau,Le mannequin a,Le,mannequin,porté,le,manteau
collar,adjust,man,adjusted,adjusted,Der,Mann,hat,den,Kragen,angepasst,anpassen,passte,The man adjusted the collar,The man has adjusted the collar,Der Mann passte den Kragen an,Der Mann hat den Kragen angepasst,Der Mann,Der Mann hat,Der Mann hat den Kragen,,L'homme a ajusté le col,L'homme a,L',homme,ajusté,le,col
comb,use,boy,used,used,Der,Junge,hat,den,Kamm,benutzt,benutzen,benutzte,The boy used the comb,The boy has used the comb,Der Junge benutzte den Kamm,Der Junge hat den Kamm benutzt,Der Junge,Der Junge hat,Der Junge hat den Kamm,,Le garçon a utilisé le peigne,Le garçon a,Le,garçon,utilisé,le,peigne
cord,pull,electrician,pulled,pulled,Der,Elektriker,hat,das,Kabel,gezogen,ziehen,zog,The electrician pulled the cord,The electrician has pulled the cord,Der Elektriker zog das Kabel,Der Elektriker hat das Kabel gezogen,Der Elektriker,Der Elektriker hat,Der Elektriker hat das Kabel,,L'électricien a tiré sur le cordon,L'électricien a,L',électricien,tiré sur,le,cordon
cow,pet,farmer,petted,petted,Der,Bauer,hat,die,Kuh,gestreichelt,streicheln,streichelte,The farmer petted the cow,The farmer has petted the cow,Der Bauer streichelte die Kuh,Der Bauer hat die Kuh gestreichelt,Der Bauer,Der Bauer hat,Der Bauer hat die Kuh,,Le fermier a caressé la vache,Le fermier a,Le,fermier,caressé,la,vache
cup,break,potter,broke,broken,Der,Töpfer,hat,die,Tasse,zerbrochen,zerbrechen,zerbrach,The potter broke the cup,The potter has broken the cup,Der Töpfer zerbrach die Tasse,Der Töpfer hat die Tasse zerbrochen,Der Töpfer,Der Töpfer hat,Der Töpfer hat die Tasse,,Le potier a cassé la tasse,Le potier a,Le,potier,cassé,la,tasse
curtain,hang,person,hung,hung,Die,Person,hat,den,Vorhang,aufgehängt,aufhängen,hängte,The person hung the curtain,The person has hung the curtain,Die Person hängte den Vorhang auf,Die Person hat den Vorhang aufgehängt,Die Person,Die Person hat,Die Person hat den Vorhang,,La personne a accroché le rideau,La personne a,La,personne,accroché,le,rideau
cushion,lay,man,laid,laid,Der,Mann,hat,das,Kissen,hingelegt,hinlegen,legte,The man laid the cushion,The man has laid the cushion,Der Mann legte das Kissen hin,Der Mann hat das Kissen hingelegt,Der Mann,Der Mann hat,Der Mann hat das Kissen,,L'homme a posé le coussin,L'homme a,L',homme,posé,le,coussin
dog,pet,florist,petted,petted,Der,Florist,hat,den,Hund,gestreichelt,streicheln,streichelte,The florist petted the dog,The florist has petted the dog,Der Florist streichelte den Hund,Der Florist hat den Hund gestreichelt,Der Florist,Der Florist hat,Der Florist hat den Hund,,Le fleuriste a caressé le chien,Le fleuriste a,Le,fleuriste,caressé,le,chien
door,close,client,closed,closed,Der,Kunde,hat,die,Tür,geschlossen,schließen,schloss,The client closed the door,The client has closed the door,Der Kunde schloss die Tür,Der Kunde hat die Tür geschlossen,Der Kunde,Der Kunde hat,Der Kunde hat die Tür,,Le client a fermé la porte,Le client a,Le,client,fermé,la,porte
drain,clean,janitor,cleaned,cleaned,Der,Hausmeister,hat,den,Abfluss,gereinigt,reinigen,reinigte,The janitor cleaned the drain,The janitor has cleaned the drain,Der Hausmeister reinigte den Abfluss,Der Hausmeister hat den Abfluss gereinigt,Der Hausmeister,Der Hausmeister hat,Der Hausmeister hat den Abfluss,,Le concierge a nettoyé le drain,Le concierge a,Le,concierge,nettoyé,le,drain
drawer,pull,teacher,pulled,pulled,Der,Lehrer,hat,die,Schublade,herausgezogen,herausziehen,zog,The teacher pulled the drawer,The teacher has pulled the drawer,Der Lehrer zog die Schublade heraus,Der Lehrer hat die Schublade herausgezogen,Der Lehrer,Der Lehrer hat,Der Lehrer hat die Schublade,,Le professeur a tiré le tiroir,Le professeur a,Le,professeur,tiré,le,tiroir
dress,sew,seamstress,sewed,sewn,Die,Schneiderin,hat,das,Kleid,genäht,nähen,nähte,The seamstress sewed the dress,The seamstress has sewn the dress,Die Schneiderin nähte das Kleid,Die Schneiderin hat das Kleid genäht,Die Schneiderin,Die Schneiderin hat,Die Schneiderin hat das Kleid,,La couturière a cousu la robe,La couturière a,La,couturière,cousu,la,robe
egg,fry,cook,fried,fried,Der,Koch,hat,das,Ei,gebraten,braten,briet,The cook fried the egg,The cook has fried the egg,Der Koch briet das Ei,Der Koch hat das Ei gebraten,Der Koch,Der Koch hat,Der Koch hat das Ei,,Le cuisinier a frit l'œuf,Le cuisinier a,Le,cuisinier,frit,l',œuf
engine,start,driver,started,started,Der,Fahrer,hat,den,Motor,gestartet,starten,startete,The driver started the engine,The driver has started the engine,Der Fahrer startete den Motor,Der Fahrer hat den Motor gestartet,Der Fahrer,Der Fahrer hat,Der Fahrer hat den Motor,,Le conducteur a démarré le moteur,Le conducteur a,Le,conducteur,démarré,le,moteur
farm,rent,banker,rented,rented,Der,Bankier,hat,die,Farm,gemietet,mieten,mietete,The banker rented the farm,The banker has rented the farm,Der Bankier mietete die Farm,Der Bankier hat die Farm gemietet,Der Bankier,Der Bankier hat,Der Bankier hat die Farm,,Le banquier a loué la ferme,Le banquier a,Le,banquier,loué,la,ferme
feather,blow,man,blew,blown,Der,Mann,hat,die,Feder,weggeblasen,wegblasen,blies,The man blew the feather,The man has blown the feather,Der Mann blies die Feder weg,Der Mann hat die Feder weggeblasen,Der Mann,Der Mann hat,Der Mann hat die Feder,,L'homme a soufflé sur la plume,L'homme a,L',homme,soufflé sur,la,plume
fish,catch,fisherman,caught,caught,Der,Fischer,hat,den,Fisch,gefangen,fangen,fing,The fisherman caught the fish,The fisherman has caught the fish,Der Fischer fing den Fisch,Der Fischer hat den Fisch gefangen,Der Fischer,Der Fischer hat,Der Fischer hat den Fisch,,Le pêcheur a attrapé le poisson,Le pêcheur a,Le,pêcheur,attrapé,le,poisson
flag,wave,general,waved,waved,Der,General,hat,die,Flagge,geschwenkt,schwenken,schwenkte,The general waved the flag,The general has waved the flag,Der General schwenkte die Flagge,Der General hat die Flagge geschwenkt,Der General,Der General hat,Der General hat die Flagge,,Le général a agité le drapeau,Le général a,Le,général,agité,le,drapeau
floor,wipe,janitor,wiped,wiped,Der,Hausmeister,hat,den,Boden,gewischt,wischen,wischte,The janitor wiped the floor,The janitor has wiped the floor,Der Hausmeister wischte den Boden,Der Hausmeister hat den Boden gewischt,Der Hausmeister,Der Hausmeister hat,Der Hausmeister hat den Boden,,Le concierge a essuyé le sol,Le concierge a,Le,concierge,essuyé,le,sol
fly,swallow,woman,swallowed,swallowed,Die,Frau,hat,die,Fliege,verschluckt,verschlucken,verschluckte,The woman swallowed the fly,The woman has swallowed the fly,Die Frau verschluckte die Fliege,Die Frau hat die Fliege verschluckt,Die Frau,Die Frau hat,Die Frau hat die Fliege,,La femme a avalé la mouche,La femme a,La,femme,avalé,la,mouche
fork,drop,chef,dropped,dropped,Der,Koch,hat,die,Gabel,fallen,fallen,fiel,The chef dropped the fork,The chef has dropped the fork,Der Koch fiel die Gabel,Der Koch hat die Gabel fallen lassen,Der Koch,Der Koch hat,Der Koch hat die Gabel,,Le chef a laissé tomber la fourchette,Le chef a,Le,chef,laissé tomber,la,fourchette
frame,hang,person,hung,hung,Die,Person,hat,den,Rahmen,aufgehängt,aufhängen,hängte,The person hung the frame,The person has hung the frame,Die Person hängte den Rahmen auf,Die Person hat den Rahmen aufgehängt,Die Person,Die Person hat,Die Person hat den Rahmen,,La personne a accroché le cadre,La personne a,La,personne,accroché,le,cadre
garden,sell,homeowner,sold,sold,Der,Hausbesitzer,hat,den,Garten,verkauft,verkaufen,verkaufte,The homeowner sold the garden,The homeowner has sold the garden,Der Hausbesitzer verkaufte den Garten,Der Hausbesitzer hat den Garten verkauft,Der Hausbesitzer,Der Hausbesitzer hat,Der Hausbesitzer hat den Garten,,Le propriétaire a vendu le jardin,Le propriétaire a,Le,propriétaire,vendu,le,jardin
girl,see,boy,saw,seen,Der,Junge,hat,das,Mädchen,gesehen,sehen,sah,The boy saw the girl,The boy has seen the girl,Der Junge sah das Mädchen,Der Junge hat das Mädchen gesehen,Der Junge,Der Junge hat,Der Junge hat das Mädchen,,Le garçon a vu la fille,Le garçon a,Le,garçon,vu,la,fille
goat,pet,farmer,petted,petted,Der,Bauer,hat,die,Ziege,gestreichelt,streicheln,streichelte,The farmer petted the goat,The farmer has petted the goat,Der Bauer streichelte die Ziege,Der Bauer hat die Ziege gestreichelt,Der Bauer,Der Bauer hat,Der Bauer hat die Ziege,,Le fermier a caressé la chèvre,Le fermier a,Le,fermier,caressé,la,chèvre
gun,fire,criminal,fired,fired,Der,Verbrecher,hat,die,Waffe,abgefeuert,abfeuern,feuerte,The criminal fired the gun,The criminal has fired the gun,Der Verbrecher feuerte die Waffe ab,Der Verbrecher hat die Waffe abgefeuert,Der Verbrecher,Der Verbrecher hat,Der Verbrecher hat die Waffe,,Le criminel a tiré avec le pistolet,Le criminel a,Le,criminel,tiré avec,le,pistolet
hair,dye,person,dyed,dyed,Die,Person,hat,die,Haare,gefärbt,färben,färbte,The person dyed the hair,The person has dyed the hair,Die Person färbte die Haare,Die Person hat die Haare gefärbt,Die Person,Die Person hat,Die Person hat die Haare,,La personne s'est teint les cheveux,La personne s'est,La,personne,teint,le,s cheveux
hammer,swing,decorator,swung,swung,Der,Dekorateur,hat,den,Hammer,geschwungen,schwingen,schwang,The decorator swung the hammer,The decorator has swung the hammer,Der Dekorateur schwang den Hammer,Der Dekorateur hat den Hammer geschwungen,Der Dekorateur,Der Dekorateur hat,Der Dekorateur hat den Hammer,,Le décorateur a manié le marteau,Le décorateur a,Le,décorateur,manié,le,marteau
hat,wear,woman,wore,worn,Die,Frau,hat,den,Hut,getragen,tragen,trug,The woman wore the hat,The woman has worn the hat,Die Frau trug den Hut,Die Frau hat den Hut getragen,Die Frau,Die Frau hat,Die Frau hat den Hut,,La femme a mis le chapeau,La femme a,La,femme,mis,le,chapeau
hook,throw,fisherman,threw,thrown,Der,Fischer,hat,den,Haken,ausgeworfen,auswerfen,warf,The fisherman threw the hook,The fisherman has thrown the hook,Der Fischer warf den Haken aus,Der Fischer hat den Haken ausgeworfen,Der Fischer,Der Fischer hat,Der Fischer hat den Haken,,Le pêcheur a lancé l'hameçon,Le pêcheur a,Le,pêcheur,lancé,l',hameçon
horn,blow,musician,blew,blown,Der,Musiker,hat,das,Horn,geblasen,blasen,blies,The musician blew the horn,The musician has blown the horn,Der Musiker blies das Horn,Der Musiker hat das Horn geblasen,Der Musiker,Der Musiker hat,Der Musiker hat das Horn,,Le musicien a soufflé dans le cor,Le musicien a,Le,musicien,soufflé dans,le,cor
