verb-eng,noun-eng,modal-eng,verb-ger,noun-ger,modal-ger,noun-tur,verb-tur,modal-tur,phrase-eng,phrase-ger,phrase_cutoff_after_subject-eng,phrase_cutoff_after_subject-ger,phrase-tur,phrase_cutoff_after_subject-tur,phrase-zho,modal-zho,noun-zho,verb-zho,phrase_cutoff_after_subject-zho
panic,man,wants to,in Panik geraten,Mann,will,erkek,paniklemek,istiyor,the man wants to panic,der Mann will in Panik geraten,the man,der Mann will in,erkek paniklemek istiyor,erkek,男人渴望惊惶,渴望,男人,惊惶,男人
scream,child,wants to,schreien,Kind,will,çocuk,çığlık,istiyor,the child wants to scream,das Kind will schreien,the child,das Kind,çocuk çığlık atmak istiyor,çocuk,孩童渴望尖叫,渴望,孩童,尖叫,孩童
jump,cat,wants to,springen,Katze,will,kedi,atlamak,istiyor,the cat wants to jump,die Katze will springen,the cat,die Katze,kedi atlamak istiyor,kedi,猫渴望跳跃,渴望,猫,跳跃,猫
listen,blacksmith,wants to,zuhören,Schmied,will,demirci,dinlemek,istiyor,the blacksmith wants to listen,der Schmied will zuhören,the blacksmith,der Schmied,demirci dinlemek istiyor,demirci,铁匠渴望倾听,渴望,铁匠,倾听,铁匠
respond,artist,wants to,reagieren,Künstler,will,sanatçı,cevap,istiyor,the artist wants to respond,der Künstler will reagieren,the artist,der Künstler,sanatçı cevap vermek istiyor,sanatçı,艺术家渴望回应,渴望,艺术家,回应,艺术家
sit,sailor,wants to,sitzen,Seemann,will,denizci,oturmak,istiyor,the sailor wants to sit,der Seemann will sitzen,the sailor,der Seemann,denizci oturmak istiyor,denizci,水手渴望坐定,渴望,水手,坐定,水手
go,woman,wants to,gehen,Frau,will,kadın,gitmek,istiyor,the woman wants to go,die Frau will gehen,the woman,die Frau,kadın gitmek istiyor,kadın,女人渴望离去,渴望,女人,离去,女人
fall,man,wants to,fallen,Mann,will,erkek,düşmek,istiyor,the man wants to fall,der Mann will fallen,the man,der Mann,erkek düşmek istiyor,erkek,男人渴望坠落,渴望,男人,坠落,男人
run,shopkeeper,wants to,rennen,Ladenbesitzer,will,dükkân,sahibi,istiyor,the shopkeeper wants to run,der Ladenbesitzer will rennen,the shopkeeper,der Ladenbesitzer,dükkân sahibi koşmak istiyor,dükkân,店主渴望奔跑,渴望,店主,奔跑,店主
run,postman,wants to,rennen,Postbote,will,postacı,koşmak,istiyor,the postman wants to run,der Postbote will rennen,the postman,der Postbote,postacı koşmak istiyor,postacı,邮差渴望奔跑,渴望,邮差,奔跑,邮差
arrive,neurologist,wants to,ankommen,Neurologe,will,nörolog,gelmek,istiyor,the neurologist wants to arrive,der Neurologe will ankommen,the neurologist,der Neurologe,nörolog gelmek istiyor,nörolog,神经科医生渴望抵达,渴望,神经科医生,抵达,神经科医生
arrive,driver,wants to,ankommen,Fahrer,will,şoför,gelmek,istiyor,the driver wants to arrive,der Fahrer will ankommen,the driver,der Fahrer,şoför gelmek istiyor,şoför,司机渴望抵达,渴望,司机,抵达,司机
fly,owl,wants to,fliegen,Eule,will,baykuş,uçmak,istiyor,the owl wants to fly,die Eule will fliegen,the owl,die Eule,baykuş uçmak istiyor,baykuş,猫头鹰渴望飞翔,渴望,猫头鹰,飞翔,猫头鹰
march,activist,wants to,marschieren,Aktivist,will,aktivist,yürümek,istiyor,the activist wants to march,der Aktivist will marschieren,the activist,der Aktivist,aktivist yürümek istiyor,aktivist,活动家渴望游行,渴望,活动家,游行,活动家
sigh,farmer,wants to,seufzen,Bauer,will,çiftçi,iç çekmek,istiyor,the farmer wants to sigh,der Bauer will seufzen,the farmer,der Bauer,çiftçi iç çekmek istiyor,çiftçi,农夫渴望叹息,渴望,农夫,叹息,农夫
smile,electrician,wants to,lächeln,Elektriker,will,elektrikçi,gülümsemek,istiyor,the electrician wants to smile,der Elektriker will lächeln,the electrician,der Elektriker,elektrikçi gülümsemek istiyor,elektrikçi,电工渴望微笑,渴望,电工,微笑,电工
stand,conductor,wants to,stehen,Dirigent,will,orkestra,ayakta durmak,istiyor,the conductor wants to stand,der Dirigent will stehen,the conductor,der Dirigent,orkestra şefi ayakta durmak istiyor,orkestra,指挥家渴望站立,渴望,指挥家,站立,指挥家
go,bride,wants to,gehen,Braut,will,gelin,gitmek,istiyor,the bride wants to go,die Braut will gehen,the bride,die Braut,gelin gitmek istiyor,gelin,新娘渴望离去,渴望,新娘,离去,新娘
yawn,photographer,wants to,gähnen,Fotograf,will,fotoğrafçı,esnemek,istiyor,the photographer wants to yawn,der Fotograf will gähnen,the photographer,der Fotograf,fotoğrafçı esnemek istiyor,fotoğrafçı,摄影师渴望打哈欠,渴望,摄影师,打哈欠,摄影师
wave,magician,wants to,winken,Zauberer,will,sihirbaz,el sallamak,istiyor,the magician wants to wave,der Zauberer will winken,the magician,der Zauberer,sihirbaz el sallamak istiyor,sihirbaz,魔术师渴望挥手,渴望,魔术师,挥手,魔术师
bark,dog,wants to,bellen,Hund,will,köpek,havlamak,istiyor,the dog wants to bark,der Hund will bellen,the dog,der Hund,köpek havlamak istiyor,köpek,狗渴望吠叫,渴望,狗,吠叫,狗
