adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_complete-eng,phrase_complete-fre,phrase_complete-ger,phrase_complete-ita,phrase_complete-ned,phrase_complete-rus,phrase_complete-vie,phrase_complete-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho
empty,vide,leere,vuota,lege,пустую,rỗng,空,basin,bassin,Becken,vasca,bak,миску,chậu,盆,empty basin,bassin vide,leere Becken,vasca vuota,lege bak,пустая миска,chậu rỗng,空盆,I saw the empty basin,J'ai vu le bassin vide,Ich sah das leere Becken,Ho visto la vasca vuota,Ik zag de lege bak,Я увидел пустую миску,Tôi đã thấy cái chậu rỗng,我看見了空盆,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
woven,tressé,geflochtenen,intrecciato,gevlochten,плетёную,đan,编织,basket,panier,Korb,cesto,mand,корзину,giỏ,篮,woven basket,panier tressé,geflochtenen Korb,cesto intrecciato,gevlochten mand,плетеная корзина,giỏ đan,编织篮,I saw the woven basket,J'ai vu le panier tressé,Ich sah den geflochtenen Korb,Ho visto il cesto intrecciato,Ik zag de gevlochten mand,Я увидел плетёную корзину,Tôi đã thấy cái giỏ đan,我看見了编织篮,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
hot,chaud,heiße,caldo,warme,горячую,nước nóng,热水,bath,bain,Bad,bagno,bad,ванну,bồn tắm,澡,hot bath,bain chaud,heiße Bad,bagno caldo,warme bad,горячая ванна,bồn tắm nước nóng,热水澡,I saw the hot bath,J'ai vu le bain chaud,Ich sah die heiße Bad,Ho visto il bagno caldo,Ik zag het warme bad,Я увидел горячую ванну,Tôi đã thấy cái bồn tắm nước nóng,我看見了热水澡,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
comfortable,confortable,bequeme,comodo,comfortabele,удобную,êm ái,舒适,bed,lit,Bett,letto,bed,кровать,giường,床,comfortable bed,lit confortable,bequeme Bett,letto comodo,comfortabele bed,удобная кровать,giường êm ái,舒适床,I saw the comfortable bed,J'ai vu le lit confortable,Ich sah das bequeme Bett,Ho visto il letto comodo,Ik zag het comfortabele bed,Я увидел удобную кровать,Tôi đã thấy cái giường êm ái,我看見了舒适床,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
yellow,jaune,gelbe,gialla,gele,жёлтую,vàng,黄,bee,abeille,Biene,ape,bij,пчелу,ong,蜂,yellow bee,abeille jaune,gelbe Biene,ape gialla,gele bij,желтая пчела,ong vàng,黄蜂,I saw the yellow bee,J'ai vu l'abeille jaune,Ich sah die gelbe Biene,Ho visto l'ape gialla,Ik zag de gele bij,Я увидел жёлтую пчелу,Tôi đã thấy con ong vàng,我看見了黄蜂,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy con,我看見了
loud,bruyante,laute,rumorosa,luide,громкий,to,响亮,bell,cloche,Glocke,campana,bel,колокол,chuông,铃,loud bell,cloche bruyante,laute Glocke,campana rumorosa,luide bel,громкий колокол,chuông to,响亮铃,I saw the loud bell,J'ai vu la cloche bruyante,Ich sah die laute Glocke,Ho visto la campana rumorosa,Ik zag de luide bel,Я увидел громкий колокол,Tôi đã thấy cái chuông to,我看見了响亮铃,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
sweet,sucrée,süße,dolce,zoete,сладкую,ngọt,甜,berry,baie,Beere,bacca,bes,ягоду,mọng,浆果,sweet berry,baie sucrée,süße Beere,bacca dolce,zoete bes,сладкая ягода,mọng ngọt,甜浆果,I saw the sweet berry,J'ai vu la baie sucrée,Ich sah die süße Beere,Ho visto la bacca dolce,Ik zag de zoete bes,Я увидел сладкую ягоду,Tôi đã thấy quả mọng ngọt,我看見了甜浆果,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy quả,我看見了
strange,étrange,seltsamen,strano,vreemde,странную,lạ,奇,bird,oiseau,Vogel,uccello,vogel,птицу,chim,鸟,strange bird,oiseau étrange,seltsamen Vogel,uccello strano,vreemde vogel,странная птица,chim lạ,奇鸟,I saw the strange bird,J'ai vu l'oiseau étrange,Ich sah den seltsamen Vogel,Ho visto l'uccello strano,Ik zag de vreemde vogel,Я увидел странную птицу,Tôi đã thấy con chim lạ,我看見了奇鸟,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy con,我看見了
sharp,tranchante,scharfe,affilata,scherpe,острый,sắc,鋒利的,blade,lame,Klinge,lama,mes,нож,lưỡi dao,刀刃,sharp blade,lame tranchante,scharfe Klinge,lama affilata,scherpe mes,острый нож,lưỡi dao sắc,鋒利的刀刃,I saw the sharp blade,J'ai vu la lame tranchante,Ich sah die scharfe Klinge,Ho visto la lama affilata,Ik zag het scherpe mes,Я увидел острый нож,Tôi đã thấy lưỡi dao sắc,我看見了鋒利的刀刃,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
flat,plate,flache,piatta,vlakke,плоскую,phẳng,平,board,planche,Brett,tavola,plank,доску,bảng,板,flat board,planche plate,flache Brett,tavola piatta,vlakke plank,плоская доска,bảng phẳng,平板,I saw the flat board,J'ai vu la planche plate,Ich sah das flache Brett,Ho visto la tavola piatta,Ik zag de vlakke plank,Я увидел плоскую доску,Tôi đã thấy cái bảng phẳng,我看見了平板,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
wooden,en bois,hölzerne,di,houten,деревянную,gỗ,木,boat,bateau,Boot,barca,boot,лодку,thuyền,船,wooden boat,bateau en bois,hölzerne Boot,barca di legno,houten boot,деревянная лодка,thuyền gỗ,木船,I saw the wooden boat,J'ai vu le bateau en bois,Ich sah das hölzerne Boot,Ho visto la barca di legno,Ik zag de houten boot,Я увидел деревянную лодку,Tôi đã thấy con thuyền gỗ,我看見了木船,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
hard,dur,harten,duro,harde,твёрдую,cứng,硬,bone,os,Knochen,osso,bot,кость,xương,骨头,hard bone,os dur,harten Knochen,osso duro,harde bot,твердая кость,xương cứng,硬骨头,I saw the hard bone,J'ai vu l'os dur,Ich sah den harten Knochen,Ho visto l'osso duro,Ik zag het harde bot,Я увидел твёрдую кость,Tôi đã thấy cái xương cứng,我看見了硬骨头,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
interesting,intéressant,interessante,interessante,interessante,интересную,thú vị,有趣,book,livre,Buch,libro,boek,книгу,sách,书,interesting book,livre intéressant,interessante Buch,libro interessante,interessante boek,интересная книга,sách thú vị,有趣书,I saw the interesting book,J'ai vu le livre intéressant,Ich sah das interessante Buch,Ho visto il libro interessante,Ik zag het interessante boek,Я увидел интересную книгу,Tôi đã thấy cuốn sách thú vị,我看見了有趣书,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cuốn,我看見了
muddy,boueuse,schlammigen,infangato,modderige,грязные,bùn,泥,boot,botte,Stiefel,stivale,laars,сапоги,giày,靴,muddy boot,botte boueuse,schlammigen Stiefel,stivale infangato,modderige laars,грязные сапоги,giày bùn,泥靴,I saw the muddy boot,J'ai vu la botte boueuse,Ich sah die schlammigen Stiefel,Ho visto lo stivale infangato,Ik zag de modderige laars,Я увидел грязные сапоги,Tôi đã thấy đôi giày bùn,我看見了泥靴,I saw the,J'ai vu la,Ich sah die,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
full,pleine,volle,piena,volle,полную,đầy,满,bottle,bouteille,Flasche,bottiglia,fles,бутылку,chai,瓶,full bottle,bouteille pleine,volle Flasche,bottiglia piena,volle fles,полная бутылка,chai đầy,满瓶,I saw the full bottle,J'ai vu la bouteille pleine,Ich sah die volle Flasche,Ho visto la bottiglia piena,Ik zag de volle fles,Я увидел полную бутылку,Tôi đã thấy cái chai đầy,我看見了满瓶,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
white,blanche,weiße,bianca,witte,белую,trắng,白,box,boîte,Schachtel,scatola,doos,коробку,hộp,盒,white box,boîte blanche,weiße Schachtel,scatola bianca,witte doos,белая коробка,hộp trắng,白盒,I saw the white box,J'ai vu la boîte blanche,Ich sah die weiße Schachtel,Ho visto la scatola bianca,Ik zag de witte doos,Я увидел белую коробку,Tôi đã thấy cái hộp trắng,我看見了白盒,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
stupid,garçon,dummen,giovane,domme,маленького,ngốc nghếch,笨,boy,jeune,Junge,ragazzo,jongen,мальчика,đứa trẻ,男孩,stupid boy,garçon stupide,dummen Junge,ragazzo giovane,domme jongen,глупый мальчик,đứa trẻ ngốc nghếch,笨男孩,I saw the stupid boy,J'ai vu le garçon stupide,Ich sah den dummen Junge,Ho visto il ragazzo giovane,Ik zag de domme jongen,Я увидел маленького мальчика,Tôi đã thấy đứa trẻ ngốc nghếch,我看見了笨男孩,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
smart,intelligent,kluge,intelligente,slimme,умный,thông minh,聪明,brain,cerveau,Gehirn,cervello,hersenen,мозг,bộ não,脑,smart brain,cerveau intelligent,kluge Gehirn,cervello intelligente,slimme hersenen,умный мозг,bộ não thông minh,聪明脑,I saw the smart brain,J'ai vu le cerveau intelligent,Ich sah das kluge Gehirn,Ho visto il cervello intelligente,Ik zag het slimme hersenen,Я увидел умный мозг,Tôi đã thấy bộ não thông minh,我看見了聪明脑,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了
thin,fine,dünnen,sottile,dunne,тонкую,mảnh,细,branch,branche,Ast,ramo,tak,ветку,cành cây,枝,thin branch,branche fine,dünnen Ast,ramo sottile,dunne tak,тонкая ветка,cành cây mảnh,细枝,I saw the thin branch,J'ai vu la branche fine,Ich sah den dünnen Ast,Ho visto il ramo sottile,Ik zag de dunne tak,Я увидел тонкую ветку,Tôi đã thấy cành cây mảnh,我看見了细枝,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
red,rouge,roten,rosso,rode,красный,đỏ,红,brick,brique,Ziegelstein,mattone,baksteen,кирпич,gạch,砖,red brick,brique rouge,roten Ziegelstein,mattone rosso,rode baksteen,красный кирпич,gạch đỏ,红砖,I saw the red brick,J'ai vu la brique rouge,Ich sah den roten Ziegelstein,Ho visto il mattone rosso,Ik zag de rode baksteen,Я увидел красный кирпич,Tôi đã thấy viên gạch đỏ,我看見了红砖,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy viên,我看見了
narrow,étroit,schmale,stretto,smalle,узкий,hẹp,窄,bridge,pont,Brücke,ponte,brug,мост,cầu,桥,narrow bridge,pont étroit,schmale Brücke,ponte stretto,smalle brug,узкий мост,cầu hẹp,窄桥,I saw the narrow bridge,J'ai vu le pont étroit,Ich sah die schmale Brücke,Ho visto il ponte stretto,Ik zag de smalle brug,Я увидел узкий мост,Tôi đã thấy cây cầu hẹp,我看見了窄桥,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cây,我看見了
stiff,rigide,steife,rigida,stijve,жёсткую,cứng,硬,brush,brosse,Bürste,spazzola,borstel,щётку,cây cọ,刷,stiff brush,brosse rigide,steife Bürste,spazzola rigida,stijve borstel,жесткая щетка,cây cọ cứng,硬刷,I saw the stiff brush,J'ai vu la brosse rigide,Ich sah die steife Bürste,Ho visto la spazzola rigida,Ik zag de stijve borstel,Я увидел жёсткую щётку,Tôi đã thấy cây cọ cứng,我看見了硬刷,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
metal,en métal,metallenen,di,metalen,металлическое,kim loại,金属,bucket,seau,Eimer,secchio,emmer,ведро,thùng,桶,metal bucket,seau en métal,metallenen Eimer,secchio di metallo,metalen emmer,металлическое ведро,thùng kim loại,金属桶,I saw the metal bucket,J'ai vu le seau en métal,Ich sah den metallenen Eimer,Ho visto il secchio di metallo,Ik zag de metalen emmer,Я увидел металлическое ведро,Tôi đã thấy cái thùng kim loại,我看見了金属桶,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
bright,lumineuse,helle,luminosa,heldere,яркую,sáng,亮,bulb,ampoule,Glühbirne,lampadina,lamp,лампочку,bóng đèn,灯泡,bright bulb,ampoule lumineuse,helle Glühbirne,lampadina luminosa,heldere lamp,яркая лампочка,bóng đèn sáng,亮灯泡,I saw the bright bulb,J'ai vu l'ampoule lumineuse,Ich sah die helle Glühbirne,Ho visto la lampadina luminosa,Ik zag de heldere lamp,Я увидел яркую лампочку,Tôi đã thấy bóng đèn sáng,我看見了亮灯泡,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
red,rouge,roten,rosso,rode,красную,đỏ,红,button,bouton,Knopf,pulsante,knop,кнопку,nút,按钮,red button,bouton rouge,roten Knopf,pulsante rosso,rode knop,красная кнопка,nút đỏ,红按钮,I saw the red button,J'ai vu le bouton rouge,Ich sah den roten Knopf,Ho visto il pulsante rosso,Ik zag de rode knop,Я увидел красную кнопку,Tôi đã thấy cái nút đỏ,我看見了红按钮,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
sweet,sucré,süßen,dolce,zoete,сладкий,ngọt,甜,cake,gâteau,Kuchen,torta,cake,торт,bánh,蛋糕,sweet cake,gâteau sucré,süßen Kuchen,torta dolce,zoete cake,сладкий торт,bánh ngọt,甜蛋糕,I saw the sweet cake,J'ai vu le gâteau sucré,Ich sah den süßen Kuchen,Ho visto la torta dolce,Ik zag de zoete cake,Я увидел сладкий торт,Tôi đã thấy cái bánh ngọt,我看見了甜蛋糕,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
digital,numérique,digitale,digitale,digitale,цифровую,kỹ thuật số,数码,camera,appareil photo,Kamera,fotocamera,camera,камеру,máy ảnh,相机,digital camera,appareil photo numérique,digitale Kamera,fotocamera digitale,digitale camera,цифровая камера,máy ảnh kỹ thuật số,数码相机,I saw the digital camera,J'ai vu l'appareil photo numérique,Ich sah die digitale Kamera,Ho visto la fotocamera digitale,Ik zag de digitale camera,Я увидел цифровую камеру,Tôi đã thấy cái máy ảnh kỹ thuật số,我看見了数码相机,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
colourful,colorée,bunte,colorato,kleurrijke,красочную,sặc sỡ,繽紛,card,carte,Karte,cartoncino,kaart,открытку,thẻ,卡片,colourful card,carte colorée,bunte Karte,cartoncino colorato,kleurrijke kaart,красочная открытка,thẻ sặc sỡ,繽紛卡片,I saw the colourful card,J'ai vu la carte colorée,Ich sah die bunte Karte,Ho visto il cartoncino colorato,Ik zag de kleurrijke kaart,Я увидел красочную открытку,Tôi đã thấy tấm thẻ sặc sỡ,我看見了繽紛卡片,I saw the,J'ai vu la,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy tấm,我看見了
old,coûteuse,alte,carrozza,oude,старую,cũ,旧,carriage,voiture,Kutsche,vecchia,koets,карету,xe ngựa,马车,old carriage,voiture coûteuse,alte Kutsche,vecchia carrozza,oude koets,старая карета,xe ngựa cũ,旧马车,I saw the old carriage,J'ai vu la voiture coûteuse,Ich sah die alte Kutsche,Ho visto la vecchia carrozza,Ik zag de oude koets,Я увидел старую карету,Tôi đã thấy cái xe ngựa cũ,我看見了旧马车,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
wooden,en bois,hölzernen,di,houten,деревянную,gỗ,木头,cart,chariot,Karren,carretto,kar,тележку,xe kéo,车,wooden cart,chariot en bois,hölzernen Karren,carretto di legno,houten kar,деревянная тележка,xe kéo gỗ,木头车,I saw the wooden cart,J'ai vu le chariot en bois,Ich sah den hölzernen Karren,Ho visto il carretto di legno,Ik zag de houten kar,Я увидел деревянную тележку,Tôi đã thấy cái xe kéo gỗ,我看見了木头车,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
lazy,paresseux,faule,pigro,luie,ленивую,lười,懒,cat,chat,Katze,gatto,kat,кошку,mèo,猫,lazy cat,chat paresseux,faule Katze,gatto pigro,luie kat,ленивая кошка,mèo lười,懒猫,I saw the lazy cat,J'ai vu le chat paresseux,Ich sah die faule Katze,Ho visto il gatto pigro,Ik zag de luie kat,Я увидел ленивую кошку,Tôi đã thấy con mèo lười,我看見了懒猫,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
heavy,chaîne,schwere,pesante,zware,тяжёлую,nặng,沉重的,chain,lourde,Kette,catena,ketting,цепь,xích sắt,铁链,heavy chain,lourde chaîne,schwere Kette,catena pesante,zware ketting,тяжелая цепь,xích sắt nặng,沉重的铁链,I saw the heavy chain,J'ai vu la lourde chaîne,Ich sah den schwere Kette,Ho visto la catena pesante,Ik zag de zware ketting,Я увидел тяжёлую цепь,Tôi đã thấy sợi xích sắt nặng,我看見了沉重的铁链,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy sợi,我看見了
soft,mou,weicher,morbido,zachte,мягкий,mềm,软,cheese,fromage,Käse,formaggio,kaas,сыр,pho mát,奶酪,soft cheese,fromage mou,weicher Käse,formaggio morbido,zachte kaas,мягкий сыр,pho mát mềm,软奶酪,I saw the soft cheese,J'ai vu le fromage mou,Ich sah die weicher Käse,Ho visto il formaggio morbido,Ik zag de zachte kaas,Я увидел мягкий сыр,Tôi đã thấy miếng pho mát mềm,我看見了软奶酪,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy miếng,我看見了
wooden,en bois,hölzene,di,houten,деревянный,gỗ,木,chest,coffre,Kiste,cassa,kist,сундук,hộp,箱,wooden chest,coffre en bois,hölzene Kiste,cassa di legno,houten kist,деревянный сундук,hộp gỗ,木箱,I saw the wooden chest,J'ai vu le coffre en bois,Ich sah die hölzene Kiste,Ho visto la cassa di legno,Ik zag de houten kist,Я увидел деревянный сундук,Tôi đã thấy cái hộp gỗ,我看見了木箱,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
pointed,pointu,spitze,appuntito,puntige,острый,nhọn,尖,chin,menton,Kinn,mento,kin,подбородок,cằm,下巴,pointed chin,menton pointu,spitze Kinn,mento appuntito,puntige kin,острый подбородок,cằm nhọn,尖下巴,I saw the pointed chin,J'ai vu le menton pointu,Ich sah das spitze Kinn,Ho visto il mento appuntito,Ik zag de puntige kin,Я увидел острый подбородок,Tôi đã thấy cái cằm nhọn,我看見了尖下巴,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
Christian,chrétienne,christliche,cristiana,christelijke,христианскую,Kitô giáo,基督,church,église,Kirche,chiesa,kerk,церковь,Nhà thờ,教堂,Chistian church,église chrétienne,christliche Kirche,chiesa cristiana,christelijke kerk,христианская церковь,Nhà thờ Kitô giáo,基督教堂,I saw the Chistian church,J'ai vu l'église chrétienne,Ich sah die christliche Kirche,Ho visto la chiesa cristiana,Ik zag de christelijke kerk,Я увидел христианскую церковь,Tôi đã thấy Nhà thờ Kitô giáo,我看見了基督教堂,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
perfect,parfait,perfekten,perfetto,perfecte,идеальный,hoàn hảo,完美的,circle,cercle,Kreis,cerchio,cirkel,круг,hình tròn,圆圈,perfect circle,cercle parfait,perfekten Kreis,cerchio perfetto,perfecte cirkel,идеальный круг,hình tròn hoàn hảo,完美的圆圈,I saw the perfect circle,J'ai vu le cercle parfait,Ich sah den perfekten Kreis,Ho visto il cerchio perfetto,Ik zag de perfecte cirkel,Я увидел идеальный круг,Tôi đã thấy hình tròn hoàn hảo,我看見了完美的圆圈,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
