noun_ger,noun_eng,verb_ger,verb_eng,prefix,pres_1,pres_3,impf_1,impf_3,perf_ger,perf_eng,past_eng,cm,coll_freq,logdice,noun_freq
Apfel,apple,würfeln,dice,,,,,würfelte,gewürfelt,diced,diced,Apfel würfeln,124,6.05,314787
Apfel,apple,verspeisen,consume,,,,,verspeiste,verspeist,consumed,consumed,Apfel verspeist,101,5.89,314787
Apfel,apple,drücken,press,,,,,drückte,gedrückt,pressed,pressed,Apfel drücken,94,2.43,314787
Apfel,apple,verzehren,consume,,,,,verzehrte,verzehrt,consumed,consumed,Apfel verzehrt,92,5.38,314787
Apfel,apple,kennen,know,,,,,kannte,gekannt,known,knew,Apfel kennt,89,0.51,314787
Apfel,apple,suchen,look for,,,,,suchte,gesucht,looked for,looked for,Apfel sucht,88,0.43,314787
Apfel,apple,ersetzen,replace,,,,,ersetzte,ersetzt,replaced,replaced,Apfel ersetzen,86,2.28,314787
Apfel,apple,mitbringen,bring,,,,,brachte mit,mitgebracht,brought,brought,Apfel mitgebracht,80,3.1,314787
Apfel,apple,dazugeben,add,,,,,gab dazu,dazugegeben,added,added,Apfel dazugeben,75,4.88,314787
Apfel,apple,mitnehmen,take {np} with {self_dat},,,,,nahm mit,mitgenommen,taken,took,Apfel mitnehmen,75,3.02,314787
Apfel,apple,aufschneiden,cut {np} open,,,,,schnitt auf,aufgeschnitten,cut,cut,einen Apfel aufschneiden,73,5.5,314787
Apfel,apple,drehen,turn,,,,,drehte,gedreht,turned,turned,um den Apfel dreht,73,2.34,314787
Apfel,apple,entdecken,discover,,,,,entdeckte,entdeckt,discovered,discovered,Apfel entdeckt,72,1.18,314787
Apfel,apple,nennen,name,,,,,nannte,genannt,named,named,Apfel nennen,58,0.85,314787
Apfel,apple,wählen,choose,,,,,wählte,gewählt,chosen,chose,Apfel gewählt,58,0.68,314787
Apfel,apple,erkennen,recognise,,,,,erkannte,erkannt,recognised,recognised,Apfel erkennen,58,0.67,314787
Apfel,apple,überreichen,hand {np} over,,,,,überreichte,überreicht,handed,handed,Apfel überreicht,57,3.64,314787
Apfel,apple,malen,paint,,,,,malte,gemalt,painted,painted,Apfel malen,57,3.41,314787
Milch,milk,geben,give,,,,,gab,gegeben,given,gave,Milch geben,8517,3.69,424301
Milch,milk,trinken,drink,,,,,trank,getrunken,drunk,drank,Milch trinken,5708,8.75,424301
Milch,milk,produzieren,produce,,,,,produzierte,produziert,produced,produced,Milch produzieren,1890,6.98,424301
Milch,milk,bekommen,get,,,,,bekam,bekommen,got,got,Milch bekommen,1542,3.49,424301
Milch,milk,nehmen,take,,,,,nahm,genommen,taken,took,Milch nehmen,1419,3.02,424301
Milch,milk,kaufen,buy,,,,,kaufte,gekauft,bought,bought,Milch kaufen,1213,4.54,424301
Milch,milk,liefern,deliver,,,,,lieferte,geliefert,delivered,delivered,Milch liefern,1200,4.98,424301
Milch,milk,verwenden,utilise,,,,,"verwendete",verwendet,utilised,utilised,Milch verwenden,1003,4.15,424301
Milch,milk,verwenden,utilise,,,,,"verwandte",verwandt,utilised,utilised,Milch verwenden,1003,4.15,424301
Milch,milk,bringen,bring,,,,,brachte,gebracht,brought,brought,Milch zum Kochen bringen,903,2.52,424301
Milch,milk,erwärmen,warm {np} up,,,,,erwärmte,erwärmt,warmed {np} up,warmed {np} up,Milch erwärmen,868,8.06,424301
Milch,milk,brauchen,need,,,,,"brauchte",gebraucht,needed,needed,Milch braucht,827,3.15,424301
Milch,milk,holen,take,,,,,holte,geholt,taken,took,Milch holen,810,4.74,424301
Milch,milk,gießen,pour,,,,,goss,gegossen,poured,poured,Milch gießen,803,7.27,424301
Milch,milk,vertragen,tolerate,,,,,vertrug,vertragen,tolerated,tolerated,Milch vertragen,800,7.52,424301
Milch,milk,einrühren,stir {np} in,,,,,rührte ein,eingerührt,stirred,stirred,Milch einrühren,769,8.16,424301
Milch,milk,zugeben,add,,,,,gab zu,zugegeben,added,added,Milch zugeben,769,7.71,424301
Milch,milk,erhitzen,heat {np} up,,,,,erhitzte,erhitzt,heated,heated,Milch erhitzen,756,7.76,424301
Milch,milk,verarbeiten,process,,,,,verarbeitete,verarbeitet,processed,processed,Milch verarbeiten,706,6.35,424301
Milch,milk,rühren,stir,,,,,rührte,gerührt,stirred,stirred,Milch rühren,637,7.29,424301
Milch,milk,aufkochen,boil,,,,,kochte auf,aufgekocht,boiled,boiled,Milch aufkochen,636,7.95,424301
Milch,milk,dazugeben,add,,,,,gab dazu,dazugegeben,added,added,Milch dazugeben,616,7.55,424301
Milch,milk,abpumpen,express,,,,,pumpte ab,abgepumpt,expressed,expressed,Milch abpumpen,605,8.08,424301
Milch,milk,verkaufen,sell,,,,,verkaufte,verkauft,sold,sold,Milch verkaufen,594,4.63,424301
Milch,milk,hinzufügen,add,,,,,fügte hinzu,hinzugefügt,added,added,Milch hinzufügen,503,5.86,424301
Milch,milk,aufschäumen,froth,,,,,schäumte auf,aufgeschäumt,frothed,frothed,Milch aufschäumen,471,7.77,424301
Milch,milk,verrühren,stir,,,,,verrührte,verrührt,stirred,stirred,Milch verrühren,456,7.38,424301
Milch,milk,hinzugeben,add {np} in,,,,,gab hinzu,hinzugegeben,added,added,Milch hinzugeben,455,7.31,424301
Milch,milk,unterrühren,stir {np} in,,,,,rührte unter,untergerührt,stirred,stirred,Milch unterrühren,426,7.31,424301
Milch,milk,ersetzen,replace,,,,,ersetzte,ersetzt,replaced,replaced,Milch ersetzen,425,4.52,424301
Milch,milk,erhalten,receive,,,,,erhielt,erhalten,received,received,Milch erhalten,407,1.45,424301
Milch,milk,kochen,cook,,,,,kochte,gekocht,cooked,cooked,Milch kochen,367,5.71,424301
Milch,milk,mischen,mix,,,,,mischte,gemischt,mixed,mixed,Milch mischen,320,5.9,424301
Milch,milk,erzeugen,produce,,,,,erzeugte,erzeugt,produced,produced,Milch erzeugen,307,4.01,424301
Milch,milk,benötigen,need,,,,,benötigte,benötigt,needed,needed,Milch benötigt,297,2.61,424301
Milch,milk,schäumen,froth,,,,,schäumte,geschäumt,frothed,frothed,Milch schäumen,295,7.09,424301
Milch,milk,saugen,suck,,,,,"sog",gesogen,sucked,sucked,Milch saugen,293,6.38,424301
Milch,milk,saugen,suck,,,,,"saugte",gesaugt,sucked,sucked,Milch saugen,293,6.38,424301
Milch,milk,schütten,spill,,,,,schüttete,geschüttet,spilled,spilled,Milch schütten,261,6.35,424301
Milch,milk,konsumieren,consume,,,,,konsumierte,konsumiert,consumed,consumed,Milch konsumieren,225,5.93,424301
Milch,milk,zufügen,add,,,,,fügte zu,zugefügt,added,added,Milch zufügen,213,5.62,424301
Milch,milk,anbieten,offer,,,,,bot an,angeboten,offered,offered,Milch anbieten,208,2.52,424301
Milch,milk,halten,hold,,,,,hielt,gehalten,held,held,Milch halten,205,1.1,424301
Milch,milk,herstellen,produce,,,,,stellte her,hergestellt,produced,produced,Milch herstellen,202,3.54,424301
Milch,milk,pumpen,pump,,,,,pumpte,gepumpt,pumped,pumped,pumpe Milch ab,201,5.82,424301
Milch,milk,verzichten,refuse,,,,,verzichtete,verzichtet,refused,refused,Milch verzichten,200,3.67,424301
Milch,milk,genießen,enjoy,,,,,genoss,genossen,enjoyed,enjoyed,Milch genießen,194,2.17,424301
Milch,milk,essen,eat,,,,,aß,gegessen,eaten,ate,Milch essen,180,3.66,424301
Milch,milk,zugießen,pour in {np},,,,,goss zu,zugegossen,poured,poured,Milch zugießen und,179,6.35,424301
Milch,milk,verdauen,digest,,,,,verdaute,verdaut,digested,digested,Milch verdauen,175,6.11,424301
Milch,milk,verquirlen,whisk,,,,,verquirlte,verquirlt,whisked,whisked,Milch verquirlen und,168,6.24,424301
Milch,milk,abgeben,dispense,,,,,gab ab,abgegeben,dispensed,dispensed,Milch abgeben,158,3.16,424301
Milch,milk,aufnehmen,absorb,,,,,nahm auf,aufgenommen,absorbed,absorbed,Milch aufnehmen,157,2.11,424301
Milch,milk,vermischen,mix,,,,,vermischte,vermischt,mixed,mixed,Milch vermischen,150,5.6,424301
Milch,milk,gewinnen,win,,,,,gewann,gewonnen,won,won,Milch zu gewinnen,150,1.62,424301
Milch,milk,sehen,see,,,,,sah,gesehen,seen,saw,Milch gesehen,150,0.17,424301
Milch,milk,zubereiten,prepare,,,,,bereitete zu,zubereitet,prepared,prepared,Milch zubereiten,147,4.85,424301
Milch,milk,bestellen,order,,,,,bestellte,bestellt,ordered,ordered,Milch bestellen,143,3.02,424301
Milch,milk,melken,milk,,,,,"melkte",gemelkt,milked,milked,Milch melken,139,5.89,424301
Milch,milk,melken,milk,,,,,"molk",gemolken,milked,milked,Milch melken,139,5.89,424301
Milch,milk,abholen,collect,,,,,holte ab,abgeholt,collected,collected,Milch abzuholen,134,4.54,424301
Milch,milk,nutzen,use,,,,,nutzte,genutzt,used,used,Milch nutzen,133,0.51,424301
Milch,milk,probieren,try,,,,,probierte,probiert,tried,tried,Milch probieren,130,4.27,424301
Milch,milk,kippen,tilt,,,,,kippte,gekippt,tilted,tilted,Milch gekippt,126,5.14,424301
Milch,milk,verwandeln,transform,,,,,verwandelte,verwandelt,transformed,transformed,Milch verwandelt,126,3.57,424301
Milch,milk,empfehlen,recommend,,,,,empfahl,empfohlen,recommended,recommended,Milch empfehlen,124,2.34,424301
Milch,milk,abliefern,deliver,,,,,lieferte ab,abgeliefert,delivered,delivered,Milch abliefern,121,4.95,424301
Milch,milk,auflösen,dissolve,,,,,löste auf,aufgelöst,dissolved,dissolved,Milch auflösen und,115,4.48,424301
Milch,milk,ziehen,draw,,,,,zog,gezogen,drawn,drew,Milch ziehen,115,0.87,424301
Milch,milk,helfen,help,,,,,half,geholfen,helped,helped,Milch helfen,114,2.39,424301
Milch,milk,dazugießen,add,,,,,goss dazu,dazugegossen,added,added,Milch dazugießen und,111,5.68,424301
Milch,milk,vermarkten,market,,,,,vermarktete,vermarktet,marketed,marketed,Milch vermarktet,105,5.07,424301
Milch,milk,angießen,pour,,,,,goss an,angegossen,poured,poured,Milch angießen und,103,5.52,424301
Milch,milk,verschütten,spill,,,,,verschüttete,verschüttet,spilled,spilled,Milch verschüttet,103,5.5,424301
Milch,milk,spritzen,squirt,,,,,spritzte,gespritzt,squirted,squirted,Milch spritzen,97,4.69,424301
Milch,milk,füttern,feed,,,,,fütterte,gefüttert,fed,fed,Milch füttern,97,4.65,424301
Ball,ball,halten,hold,,,,,hielt,gehalten,held,held,Ball flach halten,11067,6.74,866907
Ball,ball,erobern,conquer,,,,,eroberte,erobert,conquered,conquered,Ball erobern,4843,8.35,866907
Ball,ball,unterbringen,put {np} down,,,,,brachte unter,untergebracht,put,put,Ball im Tor unterzubringen,4188,8.4,866907
Ball,ball,holen,take,,,,,holte,geholt,taken,took,Ball holen,3113,6.35,866907
Ball,ball,berühren,touch,,,,,berührte,berührt,touched,touched,Ball berührt,2157,7.15,866907
Ball,ball,abwehren,fend {np} off,,,,,wehrte ab,abgewehrt,fended,fended,Ball abwehren,2123,7.53,866907
Ball,ball,treten,kick,,,,,trat,getreten,kicked,kicked,Ball treten,1868,6.17,866907
Ball,ball,annehmen,receive,,,,,nahm an,angenommen,received,received,Ball annehmen,1759,6.22,866907
Ball,ball,gewinnen,win,,,,,gewann,gewonnen,won,won,Ball gewinnen,1461,4.68,866907
Ball,ball,erreichen,reach,,,,,erreichte,erreicht,reached,reached,Ball zu erreichen,1448,4.09,866907
Ball,ball,kontrollieren,control,,,,,kontrollierte,kontrolliert,controlled,controlled,Ball zu kontrollieren,1438,6.38,866907
Ball,ball,aufnehmen,pick up,,,,,nahm auf,aufgenommen,picked,picked,Ball aufnehmen,1412,4.99,866907
Ball,ball,abfangen,intercept,,,,,fing ab,abgefangen,intercepted,intercepted,Ball abfangen,1321,6.94,866907
Ball,ball,parieren,parry,,,,,parierte,pariert,parried,parried,Ball parieren,1279,6.93,866907
Ball,ball,festhalten,hold onto {np},,,,,hielt fest,festgehalten,held,held,den Ball nicht festhalten,1182,6.41,866907
Ball,ball,sichern,secure,,,,,sicherte,gesichert,secured,secured,Ball sichern,1085,4.99,866907
Ball,ball,rollen,roll,,,,,rollte,gerollt,rolled,rolled,Ball rollen,1069,6.41,866907
Ball,ball,finden,find,,,,,fand,gefunden,found,found,Ball gefunden,920,1.62,866907
Ball,ball,einschieben,push {np} in,,,,,schob ein,eingeschoben,pushed,pushed,Ball nur noch einschieben,894,6.43,866907
Ball,ball,stoppen,stop,,,,,stoppte,gestoppt,stopped,stopped,Ball stoppen,867,5.86,866907
Ball,ball,abnehmen,take,,,,,nahm ab,abgenommen,taken,took,Ball abnehmen,701,5.64,866907
Ball,ball,zurückspielen,pass {np} back,,,,,spielte zurück,zurückgespielt,passed,passed,Ball zurückspielen,620,5.94,866907
Ball,ball,mitnehmen,take,,,,,nahm mit,mitgenommen,taken,took,Ball mitnehmen,537,4.9,866907
Ball,ball,vorlegen,provide,,,,,legte vor,vorgelegt,provided,provided,Ball zu weit vorlegte,525,4.89,866907
Kleid,dress,finden,find,,,,,fand,gefunden,found,found,Kleid gefunden,3509,3.58,420968
Kleid,dress,nähen,sew,,,,,nähte,genäht,sewn,sewed,Kleid nähen,2813,9.04,420968
Kleid,dress,anziehen,put {np} on,,,,,zog an,angezogen,put,put,Kleid anziehen,2709,8.65,420968
Kleid,dress,sehen,see,,,,,sah,gesehen,seen,saw,Kleid gesehen,1432,3.41,420968
Kleid,dress,bekommen,get,,,,,bekam,bekommen,got,got,Kleid bekommen,1334,3.27,420968
Kleid,dress,bestellen,order,,,,,bestellte,bestellt,ordered,ordered,Kleid bestellt,1109,5.93,420968
Kleid,dress,nehmen,take,,,,,nahm,genommen,taken,took,Kleid nehmen,1017,2.53,420968
Kleid,dress,wählen,choose,,,,,wählte,gewählt,chosen,chose,Kleid wählen,820,4.44,420968
Kleid,dress,zeigen,show,,,,,zeigte,gezeigt,shown,showed,Kleid zeigen,739,2.92,420968
Kleid,dress,erhalten,receive,,,,,erhielt,erhalten,received,received,Kleid erhalten,651,2.12,420968
Kleid,dress,suchen,look for,,,,,suchte,gesucht,looked,looked,Kleid suchen,631,3.24,420968
Kleid,dress,hüllen,wrap,,,,,hüllte,gehüllt,wrapped,wrapped,Kleid gehüllt,577,7.37,420968
Kleid,dress,schneidern,tailor,,,,,schneiderte,geschneidert,tailored,tailored,Kleid schneidern,495,7.37,420968
Kleid,dress,anhaben,wear,,,,,hatte an,angehabt,worn,wore,Kleid anhatte,493,7.31,420968
Kleid,dress,werfen,throw,,,,,warf,geworfen,thrown,threw,Kleid geworfen,491,3.93,420968
Kleid,dress,aussuchen,choose,,,,,suchte aus,ausgesucht,chosen,chose,Kleid aussuchen,390,5.78,420968
Kleid,dress,stecken,tuck in,,,,,"steckte",gesteckt,tucked,tucked,Kleid gesteckt,372,4.36,420968
Kleid,dress,anlegen,put on,,,,,legte an,angelegt,put,put,Kleid angelegt,364,4.79,420968
Kleid,dress,entdecken,discover,,,,,entdeckte,entdeckt,discovered,discovered,Kleid entdeckt,311,3.23,420968
Kleid,dress,schenken,gift,,,,,schenkte,geschenkt,gifted,gifted,Kleid geschenkt,291,4.2,420968
Kleid,dress,präsentieren,present,,,,,präsentierte,präsentiert,presented,presented,Kleid präsentieren,280,3.57,420968
Kleid,dress,auswählen,choose,,,,,wählte aus,ausgewählt,chosen,chose,Kleid auswählen,259,4.24,420968
Kleid,dress,packen,pack,,,,,packte,gepackt,packed,packed,Kleid gepackt,209,4.37,420968
Kleid,dress,fertigen,manufacture,,,,,fertigte,gefertigt,manufactured,manufactured,Kleid fertigen,205,5.05,420968
Kleid,dress,verpassen,miss,,,,,verpasste,verpasst,missed,missed,Kleid verpasst,201,4.17,420968
Kleid,dress,öffnen,open,,,,,öffnete,geöffnet,opened,opened,Kleid zu öffnen,182,2.56,420968
Kleid,dress,setzen,set,,,,,setzte,gesetzt,set,set,Kleid setzen,179,1.08,420968
Kleid,dress,vorstellen,present,,,,,stellte vor,vorgestellt,presented,presented,Kleid vorstellen,176,3.07,420968
Kleid,dress,benötigen,require,,,,,benötigte,benötigt,required,required,Kleid benötigt,160,1.7,420968
Kleid,dress,ausführen,wear,,,,,führte aus,ausgeführt,worn,wore,Kleid ausführen,143,3.83,420968
Kleid,dress,schauen,look at,,,,,schaute,geschaut,looked,looked,Kleid schauen,138,2.71,420968
Kleid,dress,verlieren,lose,,,,,verlor,verloren,lost,lost,Kleid verlieren,138,1.62,420968
Kleid,dress,ändern,change,,,,,änderte,geändert,changed,changed,Kleid ändern,137,2.48,420968
Kleid,dress,behalten,keep,,,,,behielt,behalten,kept,kept,Kleid behalten,127,2.76,420968
Kleid,dress,schneiden,cut,,,,,schnitt,geschnitten,cut,cut,Kleid nach Maß schneiden,126,3.3,420968
Kleid,dress,besorgen,get,,,,,besorgte,besorgt,got,got,Kleid besorgen,124,4.11,420968
Spiel,game,gewinnen,win,,,,,gewann,gewonnen,won,won,Spiel gewinnen,68577,9.76,5774929
Spiel,game,machen,make,,,,,machte,gemacht,made,made,Spiel gemacht,42396,6.68,5774929
Spiel,game,verlieren,lose,,,,,verlor,verloren,lost,lost,Spiel verloren,26316,8.46,5774929
Spiel,game,sehen,see,,,,,sah,gesehen,seen,saw,Spiel gesehen,20910,7.0,5774929
Spiel,game,drehen,turn,,,,,drehte,gedreht,turned,turned,Spiel zu drehen,14813,8.35,5774929
Spiel,game,bestreiten,play,,,,,bestritt,bestritten,played,played,Spiel bestreiten,12351,8.4,5774929
Spiel,game,bringen,bring,,,,,brachte,gebracht,brought,brought,Spiel zu bringen,11521,5.94,5774929
Spiel,game,kaufen,buy,,,,,kaufte,gekauft,bought,bought,Spiel kaufen,11233,7.09,5774929
Spiel,game,zeigen,show,,,,,zeigte,gezeigt,shown,showed,Spiel gezeigt,10813,6.41,5774929
Spiel,game,starten,start,,,,,startete,gestartet,started,started,Spiel starten,10617,7.55,5774929
Spiel,game,beginnen,begin,,,,,begann,begonnen,begun,began,Spiel beginnt,10304,7.48,5774929
Spiel,game,entwickeln,develop,,,,,entwickelte,entwickelt,developed,developed,Spiel entwickelt,9583,6.8,5774929
Spiel,game,gestalten,design,,,,,gestaltete,gestaltet,designed,designed,Spiel offen gestalten,9065,7.31,5774929
Spiel,game,bekommen,get,,,,,bekam,bekommen,got,got,Spiel bekommen,8726,5.7,5774929
Spiel,game,bieten,offer,,,,,bot,geboten,offered,offered,Spiel bietet,7872,5.13,5774929
Spiel,game,verfolgen,follow,,,,,verfolgte,verfolgt,followed,followed,Spiel verfolgen,7319,7.19,5774929
Spiel,game,kennen,know,,,,,kannte,gekannt,known,knew,Spiel kennen,7102,6.25,5774929
Spiel,game,nehmen,take,,,,,nahm,genommen,taken,took,Spiel nehmen,7006,5.1,5774929
Spiel,game,erwarten,expect,,,,,erwartete,erwartet,expected,expected,Spiel erwartet,4671,6.4,5774929
Spiel,game,genießen,enjoy,,,,,genoss,genossen,enjoyed,enjoyed,Spiel genießen,4279,5.87,5774929
Spiel,game,setzen,set,,,,,setzte,gesetzt,set,set,Spiel setzen,4177,5.2,5774929
Spiel,game,erleben,experience,,,,,erlebte,erlebt,experienced,experienced,Spiel erleben,4163,5.99,5774929
Spiel,game,anschauen,watch,,,,,schaute an,angeschaut,watched,watched,Spiel anschauen,4158,6.61,5774929
Spiel,game,bestimmen,determine,,,,,bestimmte,bestimmt,determined,determined,Spiel bestimmen,4118,6.27,5774929
Spiel,game,schauen,watch,,,,,schaute,geschaut,watched,watched,Spiel schauen,3820,6.25,5774929
Spiel,game,kontrollieren,control,,,,,kontrollierte,kontrolliert,controlled,controlled,Spiel zu kontrollieren,3682,6.55,5774929
Spiel,game,schaffen,create,,,,,"schuf",geschaffen,created,created,Spiel geschafft,3607,5.1,5774929
Spiel,game,schaffen,create,,,,,"schaffte",geschafft,created,created,Spiel geschafft,3607,5.1,5774929
Spiel,game,übertragen,broadcast,,,,,übertrug,übertragen,broadcast,broadcast,Spiel übertragen,3596,6.2,5774929
Spiel,game,brauchen,need,,,,,"brauchte",gebraucht,needed,needed,Spiel braucht,3505,4.84,5774929
Spiel,game,vorbereiten,prepare,,,,,bereitete vor,vorbereitet,prepared,prepared,Spiel vorbereitet,3332,6.11,5774929
Spiel,game,veröffentlichen,publish,,,,,veröffentlichte,veröffentlicht,published,published,Spiel veröffentlicht,3295,5.93,5774929
Spiel,game,abliefern,deliver,,,,,lieferte ab,abgeliefert,delivered,delivered,Spiel abgeliefert,3275,6.6,5774929
Spiel,game,ansehen,watch,,,,,sah an,angesehen,watched,watched,Spiel ansehen,3246,6.11,5774929
Spiel,game,liefern,deliver,,,,,lieferte,geliefert,delivered,delivered,Spiel geliefert,2982,5.45,5774929
Spiel,game,durchspielen,play {np} through,,,,,spielte durch,durchgespielt,played {np} through,played {np} through,Spiel durchgespielt,2964,6.51,5774929
Spiel,game,ziehen,pull,,,,,zog,gezogen,pulled,pulled,Spiel zieht,2879,4.95,5774929
Spiel,game,erhalten,receive,,,,,erhielt,erhalten,received,received,Spiel erhalten,2779,3.96,5774929
Spiel,game,installieren,install,,,,,installierte,installiert,installed,installed,Spiel installiert,2759,6.08,5774929
Spiel,game,leiten,manage,,,,,leitete,geleitet,managed,managed,Spiel leiten,2678,5.92,5774929
Spiel,game,unterbrechen,interrupt,,,,,unterbrach,unterbrochen,interrupted,interrupted,Spiel unterbrechen,2665,6.24,5774929
Spiel,game,verpassen,miss,,,,,verpasste,verpasst,missed,missed,Spiel verpasst,2665,6.04,5774929
Spiel,game,verbessern,better,,,,,verbesserte,verbessert,bettered,bettered,Spiel zu verbessern,2628,5.49,5774929
Spiel,game,holen,take,,,,,holte,geholt,taken,took,Spiel holen,2533,5.4,5774929
Spiel,game,suchen,look for,,,,,suchte,gesucht,looked,looked,Spiel sucht,2511,4.71,5774929
Spiel,game,besuchen,visit,,,,,besuchte,besucht,visited,visited,Spiel besuchen,2257,5.18,5774929
Spiel,game,verlassen,leave,,,,,verließ,verlassen,left,left,das Spiel verlassen,2241,5.12,5774929
Spiel,game,ermöglichen,enable,,,,,ermöglichte,ermöglicht,enabled,enabled,Spiel ermöglicht,2236,4.69,5774929
Spiel,game,empfehlen,recommend,,,,,empfahl,empfohlen,recommended,recommended,Spiel empfehlen,2233,5.36,5774929
Spiel,game,vorstellen,present,,,,,stellte vor,vorgestellt,presented,presented,Spiel vorstellen,2181,5.44,5774929
Spiel,game,handeln,trade,,,,,"handelte",gehandelt,traded,traded,Spiel handelt,2140,5.16,5774929
Spiel,game,verstehen,understand,,,,,verstand ,verstanden,understood,understood,Spiel verstanden,2132,5.12,5774929
Spiel,game,führen,lead,,,,,führte,geführt,leaded,leaded,Spiel führen,2121,4.26,5774929
Spiel,game,herunterladen,download,,,,,lud herunter,heruntergeladen,downloaded,downloaded,Spiel herunterladen,2077,5.81,5774929
Spiel,game,mitspielen,play {np} along,,,,,spielte mit,mitgespielt,played {np} along,played {np} along,Spiel mitspielen,2057,5.97,5774929
Spiel,game,laden,load,,,,,lud ,geladen,loaded,loaded,Spiel laden,2020,5.43,5774929
Spiel,game,abgeben,hand over,,,,,gab ab,abgegeben,handed,handed,Spiel abgeben,2015,5.4,5774929
Spiel,game,legen,lay,,,,,legte,gelegt,laid,laid,Spiel legen,1959,4.17,5774929
Spiel,game,aufziehen,wind up,,,,,zog auf,aufgezogen,winded,winded,Spiel aufzuziehen,1941,5.86,5774929
Spiel,game,einstellen,set,,,,,stellte ein,eingestellt,set,set,Spiel eingestellt,1882,5.27,5774929
Spiel,game,aufbauen,set up,,,,,baute auf,aufgebaut,set,set,Spiel aufzubauen,1811,5.14,5774929
Spiel,game,erklären,explain,,,,,erklärte,erklärt,explained,explained,Spiel erklären,1802,5.07,5774929
Spiel,game,integrieren,integrate,,,,,integrierte,integriert,integrated,integrated,in das Spiel integriert,1788,5.26,5774929
Präsident,president,wählen,elect,,,,,wählte,gewählt,elected,elected,Präsidenten wählen,2787,6.27,1089223
Präsident,president,stellen,place,,,,,stellte,gestellt,placed,placed,Präsidenten stellen,906,2.39,1089223
Präsident,president,stürzen,overthrow,,,,,stürzte,gestürzt,overthrown,overthrew,Präsidenten zu stürzen,711,7.04,1089223
Präsident,president,treffen,meet,,,,,traf,getroffen,met,met,Präsidenten treffen,568,3.84,1089223
Präsident,president,richten,address,,,,,richtete,gerichtet,addressed,addressed,Präsidenten zu richten,450,4.6,1089223
Präsident,president,sehen,see,,,,,sah,gesehen,seen,saw,Präsidenten sehen,426,1.68,1089223
Präsident,president,vertreten,represent,,,,,vertrat,vertreten,represented,represented,Präsidenten vertreten,368,4.81,1089223
Präsident,president,kritisieren,criticise,,,,,kritisierte,kritisiert,criticised,criticised,Präsidenten kritisiert,309,5.67,1089223
Präsident,president,bestimmen,appoint,,,,,bestimmte,bestimmt,appointed,appointed,Präsidenten bestimmt,262,3.55,1089223
Präsident,president,bezeichnen,designate,,,,,bezeichnete,bezeichnet,designated,designated,Präsidenten bezeichnet,233,3.9,1089223
Präsident,president,ermorden,murder,,,,,ermordete,ermordet,murdered,murdered,Präsidenten zu ermorden,226,6.68,1089223
Präsident,president,nennen,name,,,,,nannte,genannt,named,named,Präsidenten nennen,223,2.8,1089223
Präsident,president,absetzen,remove,,,,,setzte ab,abgesetzt,removed,removed,Präsidenten abzusetzen,193,5.79,1089223
